final_rank,reduced_formula,superconductor_ranking,best_rbt_score,best_tc_estimate,best_tau_valence,best_kappa_curvature,best_phase_locking,best_prototype,structure_quality,n_elements
472,Ca2Mg3Al2B,1.4241,0.5808,30.3602,0.3750,0.0000,0.0196,quaternary_heusler,0.5000,4
473,Mg3Al2Fe2B,1.4238,0.5806,30.3433,0.3750,0.0000,0.0191,quaternary_heusler,0.5000,4
474,Ca3Al2Fe2B,1.4233,0.5803,30.3091,0.3750,0.0000,0.0180,quaternary_heusler,0.5000,4
475,Ca3Mg2Al2B,1.4227,0.5799,30.2640,0.3750,0.0000,0.0166,quaternary_heusler,0.5000,4
476,Li2Ca2Fe3B,1.4221,0.5795,30.2247,0.3750,0.0000,0.0153,quaternary_heusler,0.5000,4
477,LiCa3(MgAl)2,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
478,LiCa2Mg3Al2,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
479,Li2Ca3Mg2Al,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
480,Li2Ca2Mg3Al,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
481,LiMg2Al2Fe3,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
482,LiMg3(AlFe)2,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
483,Li2Mg2AlFe3,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
484,Li2Mg3AlFe2,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
485,Li3CaMgFe3,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
486,Li3Ca2MgFe2,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
487,Li3Ca3MgFe,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
488,Li3Ca(MgFe)2,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
489,Li3Ca2Mg2Fe,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
490,Li3CaMg3Fe,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
491,LiCa2Al2Fe3,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
492,LiCa3(AlFe)2,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
493,Li2Ca2AlFe3,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
494,Li2Ca3AlFe2,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
495,CaMg(AlFe)3,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
496,Ca2MgAl3Fe2,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
497,Ca3MgAl3Fe,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
498,CaMg2Al3Fe2,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
499,Ca2Mg2Al3Fe,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
500,CaMg3Al3Fe,1.4152,0.5749,29.7475,0.3750,0.0000,0.0000,quaternary_heusler,0.5000,4
